File,Line,Code
"scripts/enhance-api-routes.js",331,"console.error(`✗ ${route} - Error: ${error.message}`);"
"scripts/enhance-api-routes.js",359,"main().catch(console.error);"
"scripts/verify-sanitize-and-signed-urls.ts",21,"run().catch((e) => { console.error(e); process.exit(1); });"
"scripts/verify-sanitize-and-signed-urls.ts",21,"run().catch((e) => { console.error(e); process.exit(1); });"
"packages/fixzit-souq-server/routes/marketplace.js",67,"console.error('Products fetch error:', error);"
"packages/fixzit-souq-server/routes/auth.js",18,"console.error('MongoDB connection error:', error);"
"packages/fixzit-souq-server/routes/auth.js",68,"console.error('Error initializing users:', error);"
"packages/fixzit-souq-server/routes/auth.js",126,"console.error('Login error:', error);"
"packages/fixzit-souq-server/routes/auth.js",170,"console.error('Auth check error:', error);"
"packages/fixzit-souq-server/server.js",114,"console.error('Server error:', err);"
"components/ClientLayout.tsx",71,"console.error('Failed to fetch user role:', error);"
"components/topbar/GlobalSearch.tsx",52,"console.error('Search failed:', error);"
"components/CopilotWidget.tsx",188,"console.error('Copilot profile error', err);"
"components/CopilotWidget.tsx",238,"console.error('Copilot chat error', error);"
"components/CopilotWidget.tsx",281,"console.error('Tool error', error);"
"components/SystemVerifier.tsx",28,"console.error('Verification failed:', error);"
"components/AutoFixInitializer.tsx",23,"console.error('❌ Failed to run initial health check:', error);"
"components/SupportPopup.tsx",149,"console.error(""Ticket creation error:"", e);"
"components/marketplace/ProductCard.tsx",53,"console.error('Failed to add product to cart', error);"
"components/marketplace/CatalogView.tsx",167,"console.error(err);"
"components/marketplace/PDPBuyBox.tsx",47,"console.error('Failed to add product to cart', error);"
"components/fm/WorkOrdersView.tsx",384,"console.error('Failed to create work order', error);"
"components/ErrorBoundary.tsx",218,"console.error('🚨 UI Error Caught:', {"
"components/ErrorBoundary.tsx",309,"console.error('❌ Auto-fix failed:', fixError);"
"components/ErrorBoundary.tsx",460,"console.error('Failed to send welcome email:', error);"
"components/TopBar.tsx",111,"console.error('Failed to fetch notifications:', error);"
"components/TopBar.tsx",209,"console.error('Logout error:', error);"
"components/AIChat.tsx",79,"console.error('AI Chat error:', error);"
"test-mongodb-comprehensive.js",205,"console.error('❌ MONGODB_URI environment variable not set');"
"test-mongodb-comprehensive.js",227,"console.error('\n❌ TEST FAILED:', err.message);"
"test-mongodb-comprehensive.js",228,"console.error(err.stack);"
"analyze-system-errors.js",43,"console.error('❌ خطأ في جمع الملفات:', error.message);"
"test-system-e2e.js",85,"runE2ETests().catch(console.error);"
"qa/tests/lib-paytabs.create-payment.custom-base.spec.ts",64,"// Stub console.error"
"qa/tests/lib-paytabs.create-payment.custom-base.spec.ts",65,"const originalConsoleError = console.error;"
